Model_Name,Brand,weight(ounces),Ratings,Price($),Color
Beats Solo3,Beats,,60502,120.88,Black
Beats Studio3,Beats,,30105,175.99,Matte Black
Crusher Evo,Skullcandy, 0.01 ounces ,8720,199.99,True Black
Model,Brand,weight,Ratings,Price,Color
TUNE 660NC,JBL, 5.9 ounces ,2345,99.95,Black
Beats Solo3,Beats,,60502,120.88,Black
Beats Studio3,Beats,,30105,175.99,Matte Black
Crusher Evo,Skullcandy, 0.01 ounces ,8720,199.99,True Black
Model,Brand,weight,Ratings,Price,Color
TUNE 660NC,JBL, 5.9 ounces ,2345,99.95,Black
JBL Tune 125TWS - Black,JBL, 2.57 ounces ,30608,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
LIVE 460NC,JBL, 7.4 ounces ,3630,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
JBL Vibe 100 TWS Black,JBL, 1.62 ounces ,11791,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
JBL TUNE 510BT,JBL, 5.6 ounces ,24947,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Blue
JBL Quantum 100 - Black,JBL, 7.8 ounces ,12483,39.95,Black
,JBL,   ,30985,89.90,Red
JBL LIVE 660NC - White,JBL, 9.3 ounces ,1248,169.95,White
JBL Endurance Peak II,JBL, 3.63 ounces ,5712,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
JBL E55BT,JBL, 8.2 ounces ,1163,89.99,Black
JBL T450BT,JBL, 5 ounces ,1522,29.95,Black
JBL Quantum 400 - Black,JBL, 9.7 ounces ,2016,77.50,Black
JBL Quantum 200 - Black,JBL, 8.6 ounces ,1629,59.95,Black
JBL TUNE 205BT - Black,JBL, 0.582 ounces ,1553,19.95,Black
JBL JR 300 - Red,JBL, 3.84 ounces ,1713,age 1 of 1  ,Red
JBL Tune 225TWS,JBL, 2 ounces ,20838,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
JBL Reflect Aero TWS,JBL, 11.7 ounces ,118,99.95,Black
JBL LIVE 300 - Black,JBL, 2.32 ounces ,11544,79.00,Black
,JBL,   ,2450,139.90,Black
Quantum ONE,JBL, 13 ounces ,1181,299.95,Black
JBL Clip 4,JBL,   ,20323,129.90,Blue and Red
Reflect Contour 2.0,JBL, 0.6 ounces ,97,29.94,Black
,JBL,   ,7618,179.90,Black
Flip 5,JBL,   ,65160,229.90,Green and Blue
language _ tag,JBL, 1.01 pounds ,89,89.99,Blue
