Model_Name,Brand,weight(pounds),Ratings,Price($),Color
S5URW-K609,Skullcandy,0.61875,0.05030244119000181,50,Gray
WHCH710N,Sony,0.49375,0.10196537545133462,139,Black
Push Active,Skullcandy,0.209375,0.06940304786250427,45,Orange
MDRV6,Sony,0.6625,0.06689687641531557,494,Black
11621,TV Ears Inc,0.22,0.033743808413933596,33,Black
Z.N.E 01,Adidas,0.3375,0.0036518498230463945,119,Grey
JBL E55BT,JBL,0.5125,0.020801223011666228,89,Black
Rapture Series,Ghostek,0.6875,0.004887034322017969,59,Black
Beats Flex,Beats,unknown,0.8221137408010082,45,Beats Black
Sports Over Head,Philips Audio,0.81875,0.0046006147280535465,41,Black
MDR-XB450,Sony,0.3625,0.004314195134089123,109,Blue
Language _ tag ',Bose,0.31875,0.006032712697875662,97,Black
Performance ANC Headphones,Philips Audio,0.675,0.015377151950964965,20,Black
T22,Philips Audio,0.43125,0.10452525057239166,39,MidBlack
Hesh 3,Skullcandy,0.4375,0.012745671931416827,99,Gray
Noise Reduction Headset,Sony,0.6,0.008574686594309917,34,Black
LIGHTSPEED Wireless Gaming Headset,Logitech G,0.3625,0.09095612230832711,37,White
TRIPLE DRIVER,1MORE,0.0396875,0.20924741461563384,61,Gold
True Wireless Bluetooth Earphones with Ultra-Compact Design,Panasonic,0.3875,0.006014811473252885,119,Green
HBS-770.ACUSGDI,LG,0.00625,0.00563888575617458,59,Gold
AMPS AIR 2.0,SOL REPUBLIC,0.26875,0.0120833266203741,28,Rose Gold
508678 - RS135-9,Sennheiser,0.1675,0.0020765420562420677,99,Black
DJ-Style; Noise-Cancelling-Feature,Sennheiser,unknown,0.035426523528474585,74,Black
GSP 600,EPOS,0.071875,0.005925305350139003,69,Blue and brown
TWS,Philips Audio,0.5,0.0006981477602882813,19,Black
CORSAIR HS70 BLUETOOTH,Corsair,0.00075,0.021767889141296157,26,Black
Anker Liberty 3 Pro,Soundcore,0.13,0.08748328473150849,124,Black
FBA_OCX 686i,Sennheiser,0.044,0.0035981461491780653,169,Gray
RPHC200K,Panasonic,0.02,0.013318511119345674,30,Black
SC 165 USB-C,Sennheiser,unknown,0.0038129608446513825,80,Black
ATH-CM707,Audio Technica,0.01,0.004332096358711899,66,Black 
MZX1003-BLK,Altec Lansing,0.9,0.004958639220509075,28,Black
Sport2 Wireless,66 Audio,0.61875,0.0015216040929359978,64,Black and Red
T5 II True Wireless Silver,Klipsch,0.75,0.031327143089858775,83,Silver
A10,ASTRO Gaming,unknown,0.3359522824956455,89,White
