Model_Name,Brand,weight(pounds),Ratings,Price($),Color
ATH-CKS5TWBK,Audio-Technica,0.16625,0.0037234547215375,59,Black
Voyager Focus 2 UC USB-C,Plantronics,0.81875,0.0229493699663994,unknown,Black
COMPACT True Wireless,JVC,0.2,0.0004475306155694,32,Black
1MORE ComfoBuds ,1MORE,0.0088125,0.0059969102486301,unknown,Black
Earbud Style,JVC,0.06625,0.0006265428617971,9,Blue
MDRXB450AP,Sony,0.3625,0.0014499991944448,unknown,Blue
WHCH700N/L,Sony,0.53125,0.0292326998089939,169,Blue
Kraken V3,Razer,0.09625,0.0405283725459658,99,Black
Icon Wireless,Skullcandy,0.23375,0.0084135755727049,50,Black
HD 559,Sennheiser,0.09375,0.0405283725459658,79,Black
SteelSeries Arctis 3 Console,SteelSeries,0.075625,0.1204931429359082,69,White
SteelSeries Arctis 3 Console,SteelSeries,0.075625,0.1204931429359082,unknown,White
PLUG B,Koss,0.0440625,0.0427481243991901,unknown,Blue
Wire-Free Earbuds,ILive,0.11,0.0001432097969822,unknown,Black
IP7,Pyle,0.05,0.0094876490500715,unknown,White
LG TONE Free,LG,0.09875,0.0143030784735983,unknown,Black
GH-1-B,Pacrate,0.76875,0.1373560965305636,unknown,Black Blue
Smile Jamaica,House of Marley,0.198125,0.0063370335164628,unknown,Copper
RIPTIDZ True Wireless,JVC,0.2625,0.0028283934903986,unknown,Green
SAMSM-R170NZWAXAR,SAMSUNG,0.125,0.7870810442142347,unknown,White
SHE2640,Philips,0.1,0.0033833314537047,unknown,Silver
Bluetooth headphones,Itayak,0.2875,0.012405548663584,unknown,Black
ER106006,Emerson Radio,0.3125,0.0001074073477366,unknown,Gold
Evolve2 85,Jabra,0.129375,0.0112956727369719,unknown,Black
PSWBT550,Pyle,0.09,0.0010024685788754,unknown,Black
Buds,WYZE,0.35,0.0053524661622101,unknown,Black
MW07TS,MASTER & DYNAMIC,0.01875,0.015932089914271,unknown,Black
IER-M7,Sony,0.0625,0.0009308636803843,unknown,Clear
Hearphones E7 PRO,Qisebin,0.115625,0.0016827151145409,unknown,Black
HH/W906-MULTI,HamiltonBuhl,0.0625,0.000716048984911,unknown,Orange
ROG DELTA S WIRELESS,ASUS,0.86875,0.0004117281663238,unknown,BLACK
DE-B50v9M,EKids,0.85625,0.0114746849831997,unknown,Bluetooth Headphones
EP636B,August,0.275,0.0350326965867735,unknown,Black
WI-C600N/B,Sony,0.075,0.0034012326783275,unknown,Black
U18,Otium,0.22,0.2949226756602419,unknown,Black
MOB52,EKids,0.55,5.370367386832933e-05,unknown,Super Mario
HPBT010UNI,LEXiBOOK,0.55,0.0001074073477366,unknown,Pink
04091225,Sennheiser,0.275,0.001360493071331,unknown,Blue
Soundcore Liberty Air 2,Soundcore,0.13,0.267372690965789,unknown,Black
MDR-Q55SL,Sony,0.2,0.0054956759591923,unknown,Silver
FBA_OCX 686i,Sennheiser,0.044,0.003598146149178,unknown,Gray
B25,Betron,0.03525,0.0020944432808648,unknown,Gold
IAHB48MBU,ILive,0.75,0.0001969134708505,unknown,Blue
Bass,Maxell,0.5,0.0012172832743487,unknown,Black
Vi,1MORE,0.3125,0.0016290114406726,unknown,Gray
FBA_S5URFZ-341,Skullcandy,0.22,0.0006623453110427,unknown,Purple
EM-SP1,Emotal,0.036875,0.0084135755727049,unknown,Black
2800-RD,Califone,0.09375,0.0003222220432099,unknown,Red
P7,Bowers & Wilkins,0.144375,0.0125487584605662,unknown,Black
MZX890-BLK,Altec Lansing,0.2625,0.0015932089914271,unknown,Black
Been There,Jam,0.4125,0.002076542056242,unknown,Gray
Active Sport,Pyle,0.2,0.0029716032873808,unknown,Pink
Evolve2 40,Jabra,0.4125,0.0126382645836801,unknown,Black
Remix,V-MODA,0.25,0.0065876506611817,unknown,Chrome
HAFW01,JVC,0.03125,0.0027388873672847,unknown,Wood
Pro X 20,Westone Audio,0.75,0.0013425918467082,unknown,Blue
Bowers & Wilkins PI7,Bowers & Wilkins,0.15,0.0179549282966447,unknown,Charcoal
Sony MDRXB50AP Extra Bass Earbud Headphones,Sony,0.017625,0.0730190952363051,unknown,Blue
HAEN15W,JVC,0.13625,0.0007518514341566,unknown,Black
QH4,Samson,0.09375,0.0027746898165303,unknown,Black
J18,NVAHVA,0.0088125,0.022734555270926,unknown,Pink
Uplift,House of Marley,0.088125,0.0029178996135125,unknown,Silver
FBA_SV-H300UW,Alpine,0.128125,0.0006086416371743,unknown,White
ACM-70,Cyber Acoustics,0.1,0.0032043192074769,unknown,Black
Jib wireless,Skullcandy,0.090625,0.0361604737380084,unknown,Gray
ETYER2SE,Etymotic Research,0.41875,0.0040277755401247,unknown,Green
F8Z274bRN A,Belkin,0.00025,0.0286061569471967,unknown,Green
Noise-Cancelling-Feature,Sony,0.7,0.0037413559461602,unknown,Green
Fly ANC,Harman Kardon,0.1375,0.0019333322592598,unknown,Black
RS 120-W,Sennheiser,0.095625,0.0012530857235943,unknown,Black
