Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Wireless Earbuds,Tmaine,0.22,4e-05,12,Black
RP-TCM115P,Panasonic,0.1125,2e-05,13,Pink
HDJ X7K,Pioneer DJ,0.68125,0.00299,206,Black
ATH-G1WL,Audio-Technica,0.65625,0.00521,249,Black
WF-1000XM3/S,Sony,0.00881,0.40385,124,Silver
XG01,Works for ROKU by Cellet,0.25,4e-05,15,Black
ATH-WS550,Audio-Technica,0.5625,0.00048,70,Gold
ECSV1,Far End Gear,0.01762,0.00331,16,Black
H3,Bang & Olufsen,0.02825,0.00525,129,Grey
A4000,Final,0.03969,0.00755,149,Blue
CB-RED25-WRAP-FBA,LowCostEarbuds.com,0.8125,0.0,18,Red
SP700N,Sony,0.6,0.00655,34,Black
CCZ Warrior,Keephifi,0.185,2e-05,35,Blue
Fit Tune,Minoura,0.00062,0.00027,45,Black
141500,Monolith,0.01438,0.00084,79,Black
Mini,SoundPEATS,0.0725,0.05691,26,White
U18,Otium,0.22,0.29498,16,Black
5228850368,Senso,6e-05,0.15975,19,Black
TZUMI EARBUDS,Tzumi,0.22,0.00152,31,PINK
RF995RK,Sony,0.15125,0.02096,129,Grey
DJ-Style,Sony,0.9875,0.00115,79,Black
ZE3000,Final,0.0925,0.0092,149,Black
Klipsch KC5 II,Klipsch,0.75,0.00027,69,Black
199652,Maxell,0.15,0.00073,62,Black
WFSP800N/L,Sony,0.13,0.02798,95,Blue
ATH-SPORT90BTBK,Audio-Technica,0.0485,0.00023,79,Black
T51i,Beyerdynamic,0.4625,0.00564,115,Silver
ER4XR,Etymotic Research,0.8125,0.00696,349,Black
HAS100N,JVC,0.1075,0.00018,40,Black
QuietComfort 35,Bose,0.41875,0.00689,204,Brown
WI-C300,Sony,0.22,0.00166,24,Red
MDR-1000X/B,Sony,0.60625,0.01489,99,Black
"Comply Isolation T-200 (Small, 3 Pair)",COMPLY,0.04,0.001,9,Black
143236,Monoprice,0.24625,4e-05,249,Black
143453,Monolith,0.9875,7e-05,61,Black
HE-R9,HIFIMAN,0.725,0.00047,299,Black
Relays Sport,SOL REPUBLIC,0.07,0.00218,14,Mint
ADAPT 165 II,EPOS,0.25,2e-05,40,Black
FBA_MDR10RBT,Sony,0.4625,0.00945,262,Black
final EVATW(06),Final,0.75,0.00118,229,Blue
K99,AKG,0.4625,0.00319,49,Black
MX3 PRO,MEE audio,0.4375,0.01004,149,Black
Jabra Elite 85t,Jabra,0.115,0.01224,194,Black
HDR 175,Sennheiser,0.08438,0.0063,169,Black
Deejay LED,Deejay LED,0.65625,0.0,34,Black
TWS Water-resistant Stereo Earbuds,total-shop,0.225,0.00063,14,Black
G PRO X,Logitech G,0.70625,0.00725,138,Black
SB42,Koss,0.6,0.00011,59,White
BlackWIRE 8225 BW8225-M,Plantronics,0.4125,0.00111,167,Black
WISP600N/L,Sony,0.1125,0.00066,148,Blue
BT102,Scosche,0.09,0.00081,24,Black
Matrix Cinema ANC,MEE audio,0.49375,0.00098,99,Black
Smile Jamaica,House of Marley,0.19812,0.00163,59,Black
MDR-ZX110,Sony,0.4625,0.00723,24,Black
FBA_502011,Sennheiser,0.125,0.00279,79,Black
BWB50,EKids,0.8625,0.00052,29,Black
JBLFREEWFHWLKBLKAM,JBL,0.4875,0.00021,99,Black
